,country,alpha-2,date,cumsum_cases,cumsum_deaths,alpha-3,population,cases_by_million
4446,San_Marino,SM,2020-02-09,0,0,SMR,33785.0,0.0
2574,Ireland,IE,2020-02-09,0,0,IRL,4853506.0,0.0
1996,Germany,DE,2020-02-09,13,0,DEU,82927922.0,0.15676264021182154
1835,France,FR,2020-02-09,11,0,FRA,66987244.0,0.16421036817099088
1201,Croatia,HR,2020-02-09,0,0,HRV,4089400.0,0.0
358,Austria,AT,2020-02-09,0,0,AUT,8847037.0,0.0
4755,Spain,ES,2020-02-09,1,0,ESP,46723749.0,0.021402392175336786
3394,Monaco,MC,2020-02-09,0,0,MCO,38682.0,0.0
3074,Lithuania,LT,2020-02-10,0,0,LTU,2789533.0,0.0
5320,United_Kingdom,GB,2020-02-10,4,0,GBR,66488991.0,0.06016033541552766
1290,Czech_Republic,CZ,2020-02-10,0,0,CZE,10625695.0,0.0
4358,Russia,RU,2020-02-10,2,0,RUS,144478050.0,0.01384293323449479
4909,Sweden,SE,2020-02-10,1,0,SWE,10183175.0,0.09820119952765223
3556,Netherlands,NL,2020-02-10,0,0,NLD,17231017.0,0.0
3764,North_Macedonia,MK,2020-02-10,0,0,MKD,2082958.0,0.0
1672,Estonia,EE,2020-02-10,0,0,EST,1320884.0,0.0
585,Belarus,BY,2020-02-10,0,0,BLR,9485386.0,0.0
1200,Croatia,HR,2020-02-10,0,0,HRV,4089400.0,0.0
357,Austria,AT,2020-02-10,0,0,AUT,8847037.0,0.0
3393,Monaco,MC,2020-02-10,0,0,MCO,38682.0,0.0
4445,San_Marino,SM,2020-02-10,0,0,SMR,33785.0,0.0
2573,Ireland,IE,2020-02-10,0,0,IRL,4853506.0,0.0
1755,Finland,FI,2020-02-10,1,0,FIN,5518050.0,0.18122343943965713
4754,Spain,ES,2020-02-10,2,0,ESP,46723749.0,0.04280478435067357
2728,Italy,IT,2020-02-10,3,0,ITA,60431283.0,0.049643162466036006
2190,Iceland,IS,2020-02-10,0,0,ISL,353574.0,0.0
4988,Switzerland,CH,2020-02-10,0,0,CHE,8516543.0,0.0
1834,France,FR,2020-02-10,11,0,FRA,66987244.0,0.16421036817099088
1375,Denmark,DK,2020-02-10,0,0,DNK,5797446.0,0.0
3843,Norway,NO,2020-02-10,0,0,NOR,5314336.0,0.0
1995,Germany,DE,2020-02-10,13,0,DEU,82927922.0,0.15676264021182154
4284,Romania,RO,2020-02-10,0,0,ROU,19473936.0,0.0
3146,Luxembourg,LU,2020-02-10,0,0,LUX,607728.0,0.0
664,Belgium,BE,2020-02-10,1,0,BEL,11422068.0,0.08754982022519915
2189,Iceland,IS,2020-02-11,0,0,ISL,353574.0,0.0
584,Belarus,BY,2020-02-11,0,0,BLR,9485386.0,0.0
4987,Switzerland,CH,2020-02-11,0,0,CHE,8516543.0,0.0
1994,Germany,DE,2020-02-11,13,0,DEU,82927922.0,0.15676264021182154
1289,Czech_Republic,CZ,2020-02-11,0,0,CZE,10625695.0,0.0
3555,Netherlands,NL,2020-02-11,0,0,NLD,17231017.0,0.0
4908,Sweden,SE,2020-02-11,1,0,SWE,10183175.0,0.09820119952765223
4753,Spain,ES,2020-02-11,2,0,ESP,46723749.0,0.04280478435067357
1671,Estonia,EE,2020-02-11,0,0,EST,1320884.0,0.0
3392,Monaco,MC,2020-02-11,0,0,MCO,38682.0,0.0
4357,Russia,RU,2020-02-11,2,0,RUS,144478050.0,0.01384293323449479
2572,Ireland,IE,2020-02-11,0,0,IRL,4853506.0,0.0
3145,Luxembourg,LU,2020-02-11,0,0,LUX,607728.0,0.0
1833,France,FR,2020-02-11,11,0,FRA,66987244.0,0.16421036817099088
3842,Norway,NO,2020-02-11,0,0,NOR,5314336.0,0.0
4283,Romania,RO,2020-02-11,0,0,ROU,19473936.0,0.0
1374,Denmark,DK,2020-02-11,0,0,DNK,5797446.0,0.0
5319,United_Kingdom,GB,2020-02-11,8,0,GBR,66488991.0,0.12032067083105533
2727,Italy,IT,2020-02-11,3,0,ITA,60431283.0,0.049643162466036006
3073,Lithuania,LT,2020-02-11,0,0,LTU,2789533.0,0.0
1754,Finland,FI,2020-02-11,1,0,FIN,5518050.0,0.18122343943965713
3763,North_Macedonia,MK,2020-02-11,0,0,MKD,2082958.0,0.0
663,Belgium,BE,2020-02-11,1,0,BEL,11422068.0,0.08754982022519915
356,Austria,AT,2020-02-11,0,0,AUT,8847037.0,0.0
1199,Croatia,HR,2020-02-11,0,0,HRV,4089400.0,0.0
4444,San_Marino,SM,2020-02-11,0,0,SMR,33785.0,0.0
355,Austria,AT,2020-02-12,0,0,AUT,8847037.0,0.0
2726,Italy,IT,2020-02-12,3,0,ITA,60431283.0,0.049643162466036006
662,Belgium,BE,2020-02-12,1,0,BEL,11422068.0,0.08754982022519915
1753,Finland,FI,2020-02-12,1,0,FIN,5518050.0,0.18122343943965713
4752,Spain,ES,2020-02-12,2,0,ESP,46723749.0,0.04280478435067357
2188,Iceland,IS,2020-02-12,0,0,ISL,353574.0,0.0
4986,Switzerland,CH,2020-02-12,0,0,CHE,8516543.0,0.0
1993,Germany,DE,2020-02-12,15,0,DEU,82927922.0,0.1808799694751787
3554,Netherlands,NL,2020-02-12,0,0,NLD,17231017.0,0.0
1670,Estonia,EE,2020-02-12,0,0,EST,1320884.0,0.0
583,Belarus,BY,2020-02-12,0,0,BLR,9485386.0,0.0
3391,Monaco,MC,2020-02-12,0,0,MCO,38682.0,0.0
4907,Sweden,SE,2020-02-12,1,0,SWE,10183175.0,0.09820119952765223
1198,Croatia,HR,2020-02-12,0,0,HRV,4089400.0,0.0
1288,Czech_Republic,CZ,2020-02-12,0,0,CZE,10625695.0,0.0
5318,United_Kingdom,GB,2020-02-12,8,0,GBR,66488991.0,0.12032067083105533
3072,Lithuania,LT,2020-02-12,0,0,LTU,2789533.0,0.0
3762,North_Macedonia,MK,2020-02-12,0,0,MKD,2082958.0,0.0
1373,Denmark,DK,2020-02-12,0,0,DNK,5797446.0,0.0
4282,Romania,RO,2020-02-12,0,0,ROU,19473936.0,0.0
3841,Norway,NO,2020-02-12,0,0,NOR,5314336.0,0.0
4443,San_Marino,SM,2020-02-12,0,0,SMR,33785.0,0.0
1832,France,FR,2020-02-12,11,0,FRA,66987244.0,0.16421036817099088
2571,Ireland,IE,2020-02-12,0,0,IRL,4853506.0,0.0
